UpsjYK4bky8|||FUN WITH COLORFUL GAS - TAMIL|||1:41
A6aZxtLkNkY|||FUN WITH CANDLE FOUNTAIN - TAMIL|||1:39
pLcPfSAIWo0|||INVISIBLE GLASS - TAMIL|||2:41
bg3UWgRdaT0|||TWO BOTTLE FOUNTAIN  - TAMIL|||1:57
L-C89rwU2TU|||MUSICAL SOUND - TAMIL|||1:04
YAM_9G2W3pk|||PAPER CIRCUIT GREETINGS - TAMIL|||1:34
vE2tjr-uOzU|||FUN WITH HOT WATER - TAMIL|||1:28
tb60KNLb1XM|||FUN WITH CO2 - TAMIL|||2:14
_FI_V3BRvuQ|||FUN WITH A CANDLE - TAMIL|||1:55
he7qWIXuXds|||AIR HAS WEIGHT - TAMIL|||2:26
Qp32wyj7LYQ|||HIDING FISH - TAMIL|||2:43
exC-617kOYM|||SODA BOTTLE FOUNTAIN - TAMIL|||1:52
0MWmycrOLi8|||RESISTANT PENCIL - TAMIL|||2:24
ptsAcQsKhSQ|||BOTTLE SHOWER - TAMIL|||1:28
9uuMiPH16SM|||BI-METALLIC ALARM - TAMIL|||1:31
-rqU91ZihqI|||SHIMMERING MATCHBOX - TAMIL|||1:07
M5bFVCfBCpg|||TERRIFIC TORNADO - TAMIL|||1:10
BzoDqQWQ8z8|||STRAW FLUTE - TAMIL|||1:26
ZR2g7k6BRLk|||TIN SHRINK - TAMIL|||2:37
Z1tToWDsbI8|||L. E. D. TORCH - TAMIL|||2:00
yszossEqBgk|||BRAIN MUSCLE COORDINATION - TAMIL|||55
ce1aehzLvWg|||MOVING MONKEYS - TAMIL|||1:28
kjQ2Fqbzguc|||SHIMMERING FISH - TAMIL|||1:37
8zi15fa32WI|||POTATO INERTIA - TAMIL|||46
qk0lVJmBBKE|||EXPANSION OF AIR - TAMIL|||1:23
_9RaVcmUy-w|||EduClassics Title Hindi|||6
3waWdeY9c4I|||Teacher - Hindi - Sylvia Ashton Warner|||7:10
YkkwJrQ3MDU|||TEACHER - ENGLISH - SYLVIA ASHTON-WARNER|||5:04
w6F5EHHoABg|||TOTTOCHAN - ENGLISH - TETSUKO KUROYANAGI|||8:38
HMQ_OG8kzD4|||TOTTOCHAN – HINDI - TETSUKO KUROYANAGI|||9:05
-f3HalMhjpI|||DIVASWAPNA  - ENGLISH - GIJUBHAI BADHEKA|||15:59
FmJNcgUFLso|||DIVASWAPNA - HINDI - GIJUBHAI BADHEKA|||15:40
Ix-MLurnLGw|||I WISH TO BE A HUMMING BIRD - TAMIL - WANGHARI MATTHAI|||2:02
VIBno4fblh0|||MOTOR PUMP - NEPALI|||3:42
p9HMxK1hXGg|||DROP BY DROP - NEPALI|||2:57
k8OB4wJ3qMU|||NEWTON'S BOAT - NEPALI|||1:31
Mj8WUPYbBOg|||SOLAR BOAT - NEPALI|||2:20
CTfkyCH1poM|||CD Yo-Yo  - MARATHI|||2:11
32EVtVNgXb4|||STAR WARS SLINKY - KANNADA|||4:14
zSWyvFmxL6Y|||ENERGY STICK - KANNADA|||3:47
CJSILX1dAyM|||COLOUR PERCEPTION - KANNADA|||3:46
mM8XWb1gem4|||STROOP TEST - KANNADA|||3:57
Hq3AOIMPk4Q|||POD ART - ITALIAN|||2:22
JiuJEc6b9i0|||NEWSPAPER CAP - ITALIAN|||2:43
OXnMY19e9Ao|||LEAF ZOO - ITALIAN|||1:31
F77ou_8Le5c|||FUN SPIRAL - ITALIAN|||1:44
TLg13L4bWQ4|||BALANCING JOKER - ITALIAN|||1:19
-nvKZSZNY-w|||Multi Propellers | Telugu | Fun Spinners|||2:41
wqDDKDUzkcM|||Light Experiments | Telugu | See Light Travel!|||2:47
sn6OfhbyuIs|||Flying Flame | Telugu | Mini Hot Air Balloon!|||1:44
I4GeZ7aGWkk|||Surface Size | Telugu | Big, Bigger, Biggest!|||1:39
FAS76xLT-r0|||Vibrating Brush | Telugu | Use of Old Mobile Phone|||1:25
F2A2BOUvIsk|||Jumping Coil | Telugu | Electromagnetic Toy|||2:07
6cYBW3nD5_4|||Low Friction Spinners | Telugu | Simple Science|||2:22
5ogIp9pTCTc|||Stay Put Coins | Telugu | Simple Science Experiment|||1:44
2Q7bXiW57Hk|||Broom Stick Models | Telugu | Low-Cost Science Experiment|||1:54
CbnE3-0TGY4|||Link Mechanism | Telugu | Amazing Mechanism|||1:09
aT71lJvkYsc|||Soap Pearl | Telugu | Fun with Soap Water|||1:12
99O2uUrHS58|||Pearl on Taro Leaf | Telugu | Why water doesn't stick?|||1:16
pwd0aIW3aWk|||Model of Eye | Telugu | Working of the Eye|||2:11
QDq_y-qOlOM|||Rocking Toy | Telugu | Balancing Toy|||1:16
wNXJJwJHHO4|||Wire Lizard | Telugu | Walking Lizard|||1:05
y-9L0fm5ksU|||Slithering Snake | Telugu | Village Toy|||1:37
lc-25EQaszg|||Indian Clay Drum | Telugu | Found in Harappan Civilization|||1:16
vvJR_6ELaTo|||Two Way Turbine | Telugu | Fun Spinner|||2:12
05fTW2xzM28|||Who's Who at the Zoo | Marathi | Animal Jigsaw|||2:36
ssdQ9HRA6KI|||Who's Who at the Zoo | English | Animal Jigsaw|||2:36
NX9Egi7dnT4|||Who's Who at the Zoo | Hindi | Animal Jigsaw|||2:36
CEl2tYPAIdI|||Rectangle to Flower | English | No Glue Flower|||3:14
-6Qmg8_ibDU|||Rectangle to Flower | Hindi | No Glue Flower|||3:14
my1eghLrNAU|||Levitating Man | Telugu | Fun with Magnets|||1:00
n1B70lI5l58|||Annealing in Action | Telugu | Fun with Heat|||2:07
UBNSJBIghl0|||Wine Tears | Telugu | Fun with Heat|||1:21
x6GOMXlWO9c|||Straw Petals Fan | Telugu | Spinning Toy|||1:42
jmkT2JpdG20|||Whirling Currents | Telugu | Swell Experiment|||2:02
iLuwWbO88WQ|||Solid Liquid | Telugu | Unusual Experiment|||1:53
ddY4jS9C-kM|||Pearl on Hot Pan | Telugu | Fun with Heat|||1:52
MilylNGIeBI|||Ferro Fluid Power | Telugu | Fun with Magnets|||1:44
JuKQHpHFLZ0|||Meaning of Synergy | Hindi | Whole more than Parts|||2:58
I1G86gUGMjg|||Add Sugar Bend Light | Telugu | Fun with Light|||1:14
8kUVd8_IqQ0|||Diwali Lantern | Marathi | Don't curse Darkness, Light a Lamp!|||3:51
-aSa1X2vtW4|||Capillary Action | Telugu | Water Rise|||1:10
YF4tCocYOrY|||Diwali Lantern | Hindi | Light a lamp, don't curse the Darkness|||3:51
TTJAeymgw9U|||Diwali Lantern | English | Light a lamp, don't curse the Darkness|||3:52
qJ4q9qmqShI|||Flowing Charge | Telugu | Fun with Electricity|||1:50
lwd_eUaXImc|||Magnetic Zoom | Telugu | Fun with Magnets|||1:22
isCkgRq3Fw0|||Sand Sucks | Telugu | Little known fact about Water|||1:34
UTitHSJ4pMs|||Balloon Bench | Telugu | Sit on Balloons|||1:23
Q6yL8nMgfnE|||Balancing Wire Man | Telugu | Simple Balancing Toy|||52
Jn4FeDxAYxs|||Walking Through a Postcard | Telugu | Fun with Postcards|||1:54
6-OXCkfdQhM|||Celestial Craters | Telugu | Fun Science|||2:12
5-gxHu_YKhU|||Twisted Hoop | Telugu | Spinning Toy|||1:44
-JXxp12d3Ic|||See Stress | Telugu | Visual feel for Stress!|||1:43
igrH1LUO9lc|||Convection Currents | Assamese | Fun with Heat|||1:37
iGgWAbrUT2s|||Constant Flow | Assamese | Fun with Pressure|||2:20
huVz1q7c7vE|||Crown Cap Whistle | Assamese | Sound Toy|||1:20
dfLMLvmSod0|||Cool Wool | Assamese | Magic Toy|||1:31
S4QRCBJHjcM|||Cool Bottle | Assamese | Thermos Flask|||2:12
8ljtqegZymA|||Cut Potato Turn Brown | Assamese | Fun Science|||1:08
oqA6JquxwiI|||Meaning of Synergy | English | Whole is more than the parts|||2:58
Xk16F6oHW3Y|||Tailor's Bias | Hindi | Poisson's Ratio|||2:13
WIChLtu3m0s|||Tailor's Bias | English | Poisson's Ratio|||2:13
PcY_60sg0w0|||Thread Web | English | Dream Catcher|||3:51
KaEOLx70dfE|||Hyperbola from Sticks | Hindi | Straight Line to Curve|||4:58
HvKtvGUFylg|||Thread Web | Hindi | Dream Catcher|||3:51
7DYJJnxcXAM|||Two Piece Tetrahedron | Hindi | Plastic Puzzle|||1:31
gjS3nNY4Y_E|||Two Piece Tetrahedron | English | Plastic Puzzle|||1:31
ECT8SPWzliE|||Hyperbola from Sticks | English | Straight Line to Curve|||4:58
I8SFQa7TUEE|||Simple Motor | Nepali | Simplest Motor on Earth|||1:04
zJYWgMQeCe4|||Golden Ratio | English | Basic to all Art|||3:32
xsAEZ1JZC4g|||T Puzzle | English | Fun Puzzle|||1:29
pSAMTPXzN14|||Tree Tales - Tecoma stans | English | Trumpet Tree|||1:36
pLEZfLzrHHI|||T Puzzle | Hindi | Fun Puzzle|||1:29
gYkvtYSfb2A|||Remove Beads Puzzle | Hindi | Fun Puzzle|||2:04
O3VOY9gHVns|||Fun with Boyle's Law | Hindi | Air Water Compression|||3:29
GvRg4PmAA8M|||Tree Tales - Tecoma stans | Hindi | Trumpet Tree|||1:36
7SQzbvWrYBw|||Tetra Puzzle | Hindi | Fun Puzzle|||1:13
6WgaDbUXpfE|||Tetra Puzzle | English | Fun Puzzle|||1:16
P5iuwtIdIfk|||Remove Beads Puzzle | English | Fun Puzzle|||2:04
jJTolLG7GAI|||Fun with Boyle's Law | English | Air Water Compression|||3:29
Zy12MI-ob88|||Two M Puzzle | Hindi | Simple Puzzle|||1:42
Ez3H39pcsnQ|||Heart Puzzle | Hindi | Simple Puzzle|||2:06
ieoISr8ZGy0|||Ring Bead Puzzle | Hindi | Simple Puzzle|||1:30
Uy5suMAFxyQ|||Two Nail Puzzle | Hindi | Simple Puzzle|||1:30
H3jAQClYkJw|||Spring Ring Puzzle | Hindi | Simple Puzzle|||1:39
1crEArPKANE|||Handcuff Puzzle | Hindi | Simple Puzzle|||1:22
pUXistCsSe0|||Two M Puzzle | English | Simple Puzzle|||1:42
cGd9GgGg624|||Ring Bead Puzzle | English | Simple Puzzle|||1:30
c5oXReTruuE|||Two Nail Puzzle | English | Simple Puzzle|||1:30
ZcYy9rX0ng4|||Spring Ring Puzzle | English | Simple Puzzle|||1:39
7CvTajtkdGY|||Heart Puzzle | English | Simple Puzzle|||2:06
-UvTEPOEEWA|||Handcuff Puzzle | English | Simple Puzzle|||1:22
r5RjXA4BBGc|||Magnetic Worm | Hindi | Wonderful Worm|||2:00
ZjDvI2Z4c_4|||Tree Tale - Syringe Tree | Hindi | Toy Tree|||2:17
WdvQOxTZ_sA|||Magnetic Worm | English | Wonderful Worm|||2:00
0l4v25rp8Xw|||Tree Tale - Syringe Tree | English | Toy Tree|||2:17
sfMvAQfDhHs|||Bunny Rabbit | Kannada | Origami|||3:13
D_kpFPGUs-s|||Square Orange Stack | Hindi | arvindguptatoys|||2:29
WAbY262x-XQ|||Tree Tale - Indian Cork Tree | Hindi | arvindguptatoys|||2:40
Hqc3LDYnU8Y|||Tree Tale - Indian Cork Tree | English | arvindguptatoys|||2:40
t2zUPsHIXRk|||Pentagons with Oranges | English | arvindguptatoys|||4:58
lWL8z4a7Z08|||Pyramids with Oranges | English | arvindguptatoys|||4:28
BNuMkLA8QT8|||Tetra with Oranges | English | arvindguptatoys|||4:50
Gy30fetCKj0|||Touchy Fountain | Hindi | Magnificent Fountain|||3:22
BkZ4x3RioLI|||Polythene Parachute | Marathi | Amazing Flier|||2:52
9WAYcEl3hVA|||3-D  Pop Up House | Marathi ||||4:05
r_y4en6oMFI|||Tipsy Bottle | Marathi | Fun with Heat|||2:15
f-yYmrd07VA|||Touchy Fountain | Marathi | Magical Fountain|||3:48
ZOxpxUfai90|||Fluttering Twin Butterfly | Marathi | Flapping Butterfly|||4:11
U6KVgU5rqwo|||Perpetual Motion | Marathi | Amazing Machine|||2:50
POoOGOI5ZeQ|||Jumping Flame | Marathi | Fun with Heat|||2:16
NlVN2_edzdo|||Levitating Candle | Marathi | Fun with Heat|||2:32
IUNc59jg7QA|||Marble Swan | Marathi | Amazing Rolling Toy|||3:23
8-7Yrvrmwdg|||Fire Tornado | Marathi | Fun with Heat|||2:55
5IMyPJPug-E|||Smallest Burns Longest | Marathi | Fun with Heat|||3:14
57lzAj8d0Ak|||3-D Kaleidoscope | Marathi | Fun with Light|||2:12
3M7yNHV4ggA|||Thirsty Bottle | Marathi | Fun with Heat|||2:32
Z7NbQbHqdLs|||Stick Spinner I Nepali I Fun with Centrifugal Force|||1:16
K3czRwTEL0A|||Spiral Snake I Nepali I Tumbling Starw Pieces|||1:51
w3k_gg_JZuQ|||Nut Spinner I Nepali I Spining Nut Toy|||1:21
R9DDO7lFjwE|||Matchbox Train I Nepali I Fun with Friction|||1:42
3sizHPC2fjo|||Magnetic Slow Slide I Nepali|||55
sVdYNIVCyLQ|||Magnetic Jumping Frog I Nepali I Lovely Toy|||1:24
5Vch-uZVpB8|||Funny Flick I Nepali I Amazing Ice-cream Stick Toy|||1:39
2CtZejOoPMg|||Floating Forks I Nepali I Wonderful Balancing Toy|||1:10
LN_iFwaTZKE|||Flapping Ear Rabbit I Nepali I Dynamic Paper Toy|||1:09
oRISfj4ke1Y|||Flapping Butterfly I Nepali I Dynamic Paper Folding|||1:39
cKCo32nUmeY|||Colour Mixer I Nepali I Fun with Light|||1:26
oZUw64RCqIU|||Boyle's Balloon I Nepali I Fun with Pressure|||1:27
rfxdFmDPqEw|||Balancing Nails I Nepali I Amazing Balancing Toy|||1:07
bi594BVBWCs|||Atomic  Array I Nepali|||1:42
DaouZx96wP0|||14 Page Book I Nepali I Fun with Paper|||2:14
yGWVLuz7d1I|||Motor Pump | Marathi | Real Life Pump|||3:42
x0N5HVrX4IA|||Convection Smoke Flow | Marathi | Heat Currents|||2:09
_AvfXyhEuC4|||Add Water See Coin | Marathi | Fun with Light|||1:47
YgUGNzkiCvg|||Bird of Peace | Marathi | Amazing Paper Sculptor|||2:20
NGKJbmnB2WI|||Vacuum Lift | Marathi | Fun with Vacuum|||1:31
K-7Rkod0Hr4|||Standing Paper Crane | Marathi | Elegant Sculptor|||2:39
Hng5BKEBz4s|||Radiometer | Marathi | Quizzing Apparatus|||2:51
5ACp2s0frE8|||Inflatable Lungs | Marathi | Biology in the Classroom|||3:24
1KB254ZPW6g|||Paper Insect | Marathi | Fun with Paper|||2:30
1-nUbazE2SM|||Glass Lifts Glass | Marathi | Fun with Vacuum|||2:09
jPCzTWMc898|||Magical Coin | Marathi | Fun with Light|||2:17
BuWjcmUn2-A|||Paper Deer | Marathi | Paper Sculptor|||3:49
9OWR4j3oDUU|||3-D Ganesha | Marathi | Paper Sculptor|||3:09
92R0UMx5ACk|||Tumbler | Marathi | Tumbling Toy|||3:13
8J5o3fou6tg|||3-D Buddha | Marathi | Paper Sculptor|||3:14
161IzbAeySc|||Disappearing Coin | Marathi | Fun with Light|||2:06
zwAOltqwc5U|||Oil Centrifuge | Marathi | Simple Centrifuge|||2:36
xlKeByuytdQ|||Fun with Water Lens | Marathi | Fun with Light|||1:55
oGTbxZa71oY|||Soda Bottle Fountain | Marathi | Fun with Pressure|||1:52
Y4dJa6TK9Gg|||Circumference & Diameter Ratio - Pi | Marathi | Fun with Maths|||2:15
RwqSmUBUkHk|||Violin Generator | Marathi | Fun with Electricity|||2:08
kxlnvUtCumw|||Fat Rat | Hindi | 3-D Rat|||5:36
JX1x6Kh6mvU|||Shirt with Tie | Hindi | Fun Origami|||2:55
DDkQ2BIojqs|||Spin Fan Light LED | Hindi | Fun with Electricity|||59
qwZicS674aY|||Spin Fan, Light LED | English | Fun with Electricity|||59
mc4cTYlOa_8|||Shirt with Tie | English | Fun Origami|||2:55
mYIUVIIDYJA|||Fat Rat | English | 3-D Rat|||5:36
XfKndfuCQFo|||Magic Water Flow | Telugu | Tap Hanging in the Air!|||1:43
E_jKu4gST9o|||Square Orange Stack | English | Fun with Maths|||2:29
7TjhVCzmzJs|||Maths with Oranges | Hindi | Fun with Maths|||4:50
BfIZkiVGH74|||Lord Ganesha's Sweet - Modak | Hindi | Origami|||4:12
07eFsiStsTo|||Lord Ganesha's Sweet - Modak | English | Origami|||4:12
yYyXWZkpSEQ|||Wireless Electricity Transmission | Hindi | Simply Electrifying!|||6:38
vd3rMEhCyzo|||Wireless Electricity Transmission | English | Simply Electrifying!|||6:39
uY2mNZsnwmU|||Newspaper Protractor | Hindi | Fun with Maths|||3:31
rk-r3QiAVuM|||A-4 Protractor | Hindi | Fun with Maths|||3:32
HY0TlGeXsPM|||Wireless Electricity Transmission | Marathi | Electromagnetism Alive!|||6:38
nzq3Cg0rJuw|||A-4 Protractor | English | Measure Angles|||3:32
-ZwEx1JF98c|||Newspaper Protractor | English | Maths Teaching Aid|||3:31
t-obPrJqQgs|||Magnetic Oscillator | Hindi | Magnetic Piston|||2:17
i0h8sZFFSbI|||Magnetic Oscillator | English | Magnetic Piston|||2:17
fN5eTO--uFM|||Solar Cap I Marathi I Cool cap!|||1:22
yIA21hVW4AM|||Refractive Disappearance I Marathi I Its there and not there!|||3:08
GIMxKz-tCmw|||Flame in Water I Marathi I Magical Illumination|||2:04
g8fQaiqETEQ|||Reducing Boiling Point of Water I Marathi I Fun with pressure|||2:10
ZO7MWeZDH7s|||Magnetic Oscillator | Marathi | Reciprocating Piston|||2:17
ozn50KKznPM|||Paper Water Balloon | Kannada | Origami|||4:04
oM1D-2SbHCY|||Folding Paper Heart | Kannada | Origami Model|||3:21
V1jS913lH1o|||Square Paper Spinner | Kannada | Fun Spinner|||2:54
ohgCNlKOxzE|||Hinge Man | Hindi | Yoga Postures|||3:23
AUvp-vrWQGc|||Rotary to Left-Right | Hindi | Amazing Machine|||3:16
VzjvzmNGiLw|||Convection Fan | Hindi | Propeller atop a Chimney|||3:16
KIzdXJPqEK8|||Colourful Bands | Hindi | Rainbow Friendship Bands|||2:37
Z83VsxY00Zg|||3-D Star | Hindi | Shining Star|||4:46
3FHhgifND90|||Hinge Man | English | Yoga Man|||3:23
1KV5qa4NNig|||3-D Star | English | Elegant|||4:46
d8YtCZ-WpQM|||Rotary to Left-Right | English | Amazing Machine|||3:16
PINQWMq7RSQ|||Colorful Bands | English | Rainbow Friendship Band|||2:37
DGz6NI-5kDg|||Convection Fan | English | Spinner atop a Chimney|||3:16
dIiR1DPGr1A|||Cut One Get Three - Part 3 | English | Fun with Geometry|||3:58
88m4JSk3gQE|||Static Wand | Kannada | Fin with Static Electricity|||3:37
aMzazoXE6AU|||Walking the Ramp | Kannada | Walking Toy|||2:08
zFNj9Yuq7EE|||Rocking Mouse | Kannada | Walking Toy|||2:48
MDWXbU18r2w|||Simple Strobe | Kannada | Science Toy|||2:19
f5CKUmt-l24|||Eddy Current Dance | Kannada | Fun with Electricity|||3:03
0FDTOsFGGVU|||Shell Sack | Kannada | Great Idea!|||2:23
d_arkLvWZQs|||Soccer Ball Design | Kannada | Football Maths|||4:21
rKmQ7S0AnOw|||Kadamaba | Kannada | Tree Tale|||2:11
Ztim7Wx7R0Y|||Cut One Get Three - Part 2 | English | Fun with Geometry|||3:18
qzIPvItD1h8|||Cut One Get Three - Part 1| English | Fun with Geometry|||3:31
z_H7o2sT1WU|||Cup Propeller | Kannada | Fun Spinner|||3:21
yiTjm_ht5xc|||Flying Disk | Kannada | Flying Toy|||1:46
p7ZGn8VxiV4|||3-D Pop-Up House | Kannada|||4:05
arXQwL8xA58|||Wing Fruit Spinner | Kannada | Natural Spinner|||5:57
aBOcapTmx2A|||Banyan Buddy | Kannada | Leaf Cat|||2:27
ZquIDxaVQLM|||Paper Protractor Peacock | Kannada | Fun with Angles|||3:35
JlBaS_1jyTA|||Squeeze and Spin | Kannada | Amazing Spinner|||3:24
3sta1IO8c7g|||Cardboard Clock | Kannada | Grandfather Tick-Tock|||4:11
1srx3j-ob7Y|||Cup Creations | Kannada | Fun with Paper Cups|||2:24
NzKXX4Bh29k|||Brine Buoyancy | Punjabi | Fun with Density|||1:12
c1QxEx13x3Q|||Crown Cap Whistle | Punjabi | Fun Sound Toy|||1:20
wwiDTU_uFlA|||Rub and Dance | Tamil | Amazing Fun Toy|||2:00
hg55dKoQDGk|||Low Friction Spinner | Tamil | Spinning for a long time|||2:38
boncK6GUFAk|||Water Absorbent Polymer | Tamil | Amazing Absorbtion|||1:15
UOxruRnn2Wg|||Lift Rice | Tamil | Friction in Action|||1:39
N1EDbvBoo_k|||Go, No-Go Matchbox | Tamil | Simple Toy|||2:00
LR4UlvJsupI|||Moving Monkeys | Tamil | Dynamic Toy|||1:38
vUYnHWHjis8|||Perpetual Motion | Kannada | Fun Machine|||2:50
pvXPvUlwrMU|||Polythene Parachute | Kannada | Fun Parachute|||2:52
fd641-3n7kU|||3-D Kaleidoscope | Kannada | Fun with Mirrors|||2:12
ZLfZvmp3g10|||Fluttering Twin Butterfly | Kannada | Dynamic Toy|||4:11
ZABJk9m1znQ|||Tipsy Bottle | Kannada | Fun with Heat|||2:15
Z39gPLbg2Ac|||Jumping Flame | Kannada | Fun with Candles|||2:16
PfUbIQYXwVM|||Levitating Candle | Kannada | Fun with Heat|||2:32
PHsjMhIPVvc|||Marble Swan | Kannada | Moving Toy|||3:23
PBxfMXhHyW0|||Thirsty Bottle | Kannada | Fun with Heat|||2:32
L78ay_nGEPE|||Smallest Burns Longest | Kannada | Fun with Candles|||3:14
CI2stMokE2o|||Smoke Rings | Kannada | Fun with Smoke|||2:58
lQ6WZ873o8g|||Motor Pump | Kannada | Real life Pump|||3:42
bCs6VbRqx8M|||Radiometer | Kannada | Amazing Instrument|||2:51
aewO2AmcQkA|||Convection Smoke Flow | Kannada | Fun with Heat|||2:09
UJLjb0G7yxU|||Fire Tornado | Kannada | Fun with Heat|||2:55
P7BrWY8djWw|||Inflatable Lungs | Kannada | How Lungs Work?|||3:24
iROrVho7lZ8|||Vacuum Lift | Kannada | Fun with Heat|||1:31
J6EXjMpRfe8|||Glass Lifts Glass | Kannada | Fun with Heat|||2:09
-kAivw0pFJI|||Paper Insect | Kannada | Fun with Paper|||2:30
wD7e0WXMR3Q|||Add Water See Coin | Kannada | Fun with Light|||1:47
DTSz6iEeKe4|||Bird of Peace | Kannada | Elegant Dove|||2:20
hDNayP1D_3o|||Touchy Fountain | English | Magical Fountain!|||3:21
w3CbbenZVBI|||Magnetic Crazy Doll | English | Fuzzy Logic|||2:52
fwQwvk6LuBk|||Bottle Cap Tumbler | English | Funny Rolling Toy|||2:50
YJV5Mp9Abn4|||Bottle Cap Tumbler | Hindi | Funny Rolling Toy|||2:50
D4oywwQezA0|||Magnetic Crazy Doll | Hindi | Fuzzy Logic|||2:52
UibOwvXRUIo|||Bird in cage I Nepali I Persistance of Vision|||1:26
B8YnQgKwdNE|||Balancing Ballerina I Nepali I Amazing Balancing Toy!|||1:42
bfAGhnLDXfM|||Oil Centrifuge | Marathi | Fun Centrifuge|||2:36
f0oXA0ADOaU|||Soda Bottle Fountain | Marathi | Fun Fountain|||1:52
crAyIBdZYTs|||Fun with Water Lens | Marathi | Fun with Light|||2:43
f3ET_nNEa18|||Violin Generator | Marathi | Amazing Generator|||2:08
RJI9c0Cw_dU|||Circumference and Diameter of Circle Pi | Marathi | Fun with Math|||2:15
pgWKN5QOwJU|||Tail of Pi | Marathi | Fun with 22/7|||2:33
hNe8-bg-ojg|||Newton's Third Law in Action | English|||3:06
sZxe0YIHFXE|||Tipping Bird | Hindi | Fun with Paper|||2:27
HHKEleIaHJk|||Eddy Current Slowdown | Hindi | Eddy Currents!|||2:20
KaqX3K5Wp4k|||Newton's Third Law in Action | Hindi|||3:06
L_A-TW4yfp4|||Woven Ball | Hindi | Fun with Paper|||3:40
75M0ODbRD6c|||Eddy Current Slowdown | English | Eddy Braking|||2:20
vVUzH8Hnkm8|||Tipping Bird | English | Magical Bird!|||2:27
8ZxgMVXxBbI|||Bernoulli Balloon | Hindi | Fun with Air!|||4:40
7peYz2ytyQM|||Woven Ball | English | Throw it up!|||3:40
YbsMf1CrsWw|||Cup Helicopter | Tamil | Wonderful Spinner!|||1:45
wD_Ifoh9JdA|||Climbing Brush | Assamese | Fun with Friction|||1:22
lKGw72i6yGQ|||Color Mixer | Assamese | Rainbow Colors|||1:26
BnCXyOQ_w64|||Colorful Fish | Assamese | Color Magic!|||1:34
5HnMPuA6uz8|||Climbing Butterfly | Assamese | Fun Toy|||2:11
95uhtBggirg|||Bernoulli Balloon | Bengali | Bernoulli's Principle|||4:40
z3WXexEpJPQ|||Bicycle Gyro | Bengali | Wonderful Gyroscope|||1:45
xmBWGD4gFiM|||Resistant Pencil | Bengali | Fun with Electricity|||2:24
veHhctYqIsE|||Smoking Kills | Bengali | Ills of Smoking!|||2:17
uDPRXnctivo|||Balloon Bench | Bengali | Load Distribution|||1:20
iwPZ_hYfLHM|||Sand Sucks | Bengali | Amazing Experiment|||1:38
bVTKyapYf_U|||Eddy Current Dance | Bengali | Fun with Eddy Currents|||3:57
aL1RbW2lw9M|||Sun is One | Bengali | Oneness of All|||1:00
YfiVIG0bB9Q|||Bernoulli Bag | Bengali | Counter Intuitive Experiment|||1:09
RthwC2urBCI|||Stick Transmission | Bengali | Fun with Match Sticks|||1:48
Eb8vv2WydXA|||Maglev Train | Bengali | Levitating Train|||2:13
COwcBbprENE|||Tetra Purse | Bengali | Fun with Tetra Pak|||1:46
7baC6hhTbeM|||Solar Boat | Bengali | Fun with Solar Energy|||2:20
345i-SGKqcQ|||Dancing Dragonfly | Bengali | Balancing Toy|||2:01
2NcJHCMYofU|||Pencil Box Periscope | Bengali ||||1:42
hsAkKPefCsQ|||Straw Waves | Bengali | Fun with Waves|||2:13
YpcL8y4uh1o|||Bernoulli Balloon | English | Fun with Air|||4:40
FQOkKmmkVkU|||Newton's Third Law in Action | Bengali | Fun with Magnets|||3:06
eKIUv8BX3RA|||Pin Spin | Spanish | Dynamic Toy!|||1:32
b2mfjm4SI0U|||Leaf Creature | Bengali | Fun with Leaves|||1:32
Jzg53leWeHY|||Sunlight Your Home | Bengali | Light Bottle!|||1:42
1GIWdeiw8wI|||Hand-Up | Bengali | Fun with Air|||1:22
1e8oqdZ9Q0w|||Bottle Barometer | Bengali | Fun with Pressure|||2:46
isUu-Acjuxs|||Pecking Sparrow | Bengali | Matchbox Toy|||1:56
TO7Fp5AqrKI|||Matchbox Play Toy | Bengali | Fun Toy|||1:29
i1Pj7FKtp54|||Pecking Sparrow | English | Dynamic Toy!|||1:56
JaPjAb9FylE|||Bottle Barometer | English | Coke Bottle Fun!|||2:46
uhJich5u6j4|||Matchbox Play Toy | English | Fun with Matchboxes!|||1:29
qUiBeFeyxDk|||Straw Waves | Spanish | Wave Motion!|||2:25
cdNuDVUxcu4|||3-D Butterfly | Hindi | Amazing Butterfly!|||2:19
RGJY9MnlbCw|||Secret Siphon | Hindi | Fun Siphon|||2:38
VCKsb_4q45I|||Fishy Fish | Spanish | 3-D Sculptor|||2:08
6mDGfQpl4Qk|||3-D Butterfly | English | Realistic Butterfly!|||2:19
J4PFU4nvv-M|||Secret Siphon | English | Fun with water!|||2:38
_QxnfmuZSBw|||Cool Wool | Punjabi | Magic Toy!|||1:31
3VVf1YAZVPA|||Ball in Air | Punjabi | Airlift!|||58
9iez9yENCDQ|||Walking the Ramp | Hindi | Moving Animal!|||2:08
Gb0yTHo_AgA|||Walking the Ramp | English | Moving Animal!|||2:08
yEYkukujUgo|||Square Paper Spinner | Hindi | Amazing Spinner!|||2:54
nwFAKYTaMyA|||Square Paper Spinner | English | Amazing Spinner!|||2:54
90i-US-l6aE|||Rocking Mouse | Hindi | Moving Rat!|||2:48
gg3NKosa_cU|||Rocking Mouse | English | Moving Rat!|||2:48
isA4Ixca3LQ|||Static Wand | Hindi | Fun with Static Electricity!|||3:37
